,id,stateOrProvince,bathrooms,bedrooms,listPrice,livingArea,yearBuilt,lotSize,propertySubType,listingCategory,numParkingSpaces,photoscount,grade
0,2698139,MO,6,5,425000.0,3046.0,1998.0,122417.00078291811,Single Family Detached,Purchase,3.0,29,awesome
1,2698093,MO,2,3,175000.0,1587.0,1962.0,7753.68,Single Family Detached,Purchase,1.0,29,awesome
2,2698007,MO,3,3,295000.0,2437.0,1986.0,14766.84,Condominium,Purchase,2.0,29,awesome
3,2697963,MO,2,3,215000.0,1780.0,1969.0,11848.32,Single Family Detached,Purchase,2.0,29,awesome
4,2697938,MO,4,4,375000.0,3405.0,2007.0,10890.0,Single Family Detached,Purchase,3.0,29,awesome
5,2697936,MO,3,4,299900.0,1814.0,1999.0,6098.4,Single Family Detached,Purchase,2.0,29,awesome
6,2697845,MO,1,2,140000.0,2800.0,2012.0,140176.08,Single Family Detached,Purchase,2.0,29,awesome
7,2697825,MO,1,3,82500.0,1435.0,1954.0,122417.00078291811,Single Family Detached,Purchase,1.0,29,awesome
8,2697732,MO,4,4,239900.0,2358.0,1903.0,2700.72,Single Family Detached,Purchase,2.0,29,awesome
9,2697716,MO,3,3,239900.0,1524.0,1985.0,9583.2,Single Family Detached,Purchase,2.0,29,awesome
10,2697594,FL,3,2,109990.0,1377.0,1984.0,122417.00078291811,Condominium,Purchase,0.0,29,awesome
11,2697536,FL,3,4,3000.0,2084.289256198347,2000.0,6969.6,Single Family Detached,Rent,3.0,29,awesome
12,2697492,FL,3,2,3995000.0,1882.0,2017.0,122417.00078291811,Condominium,Purchase,0.0,29,awesome
13,2697491,FL,2,4,374000.0,1994.0,1986.0,7405.2,Single Family Detached,Purchase,0.0,29,awesome
14,2697464,FL,3,3,1750.0,2084.289256198347,1996.0,122417.00078291811,Townhouse,Rent,0.0,29,awesome
15,2697341,FL,2,1,615000.0,778.0,2008.0,122417.00078291811,Condominium,Purchase,1.0,29,awesome
16,2697334,FL,3,3,1225000.0,2399.0,1954.0,6534.0,Single Family Detached,Purchase,0.0,29,awesome
17,2697288,FL,1,1,1350.0,2084.289256198347,1976.0,122417.00078291811,Condominium,Rent,1.0,29,awesome
18,2697218,FL,2,4,415000.0,2310.0,1984.0,122417.00078291811,Single Family Detached,Purchase,2.0,29,awesome
19,2697153,FL,2,4,379900.0,2242.0,1973.0,6098.4,Single Family Detached,Purchase,1.0,29,awesome
20,2697126,FL,2,3,228000.0,1390.0,1972.0,122417.00078291811,Condominium,Purchase,0.0,29,awesome
21,2697005,FL,2,2,85900.0,850.0,1975.0,122417.00078291811,Condominium,Purchase,0.0,29,awesome
22,2696974,FL,2,2,265000.0,1304.0,1984.0,4791.6,Single Family Detached,Purchase,0.0,29,awesome
23,2696672,FL,2,2,227000.0,1081.0,1971.0,122417.00078291811,Condominium,Purchase,1.0,29,awesome
24,2696669,FL,2,2,360000.0,1750.0,1995.0,122417.00078291811,Condominium,Purchase,1.0,29,awesome
25,2696650,FL,5,5,855000.0,4309.0,2017.0,5227.2,Single Family Detached,Purchase,4.0,29,awesome
26,2696607,FL,3,4,320000.0,1921.0,1955.0,8276.4,Single Family Detached,Purchase,2.0,29,awesome
27,2696535,FL,2,1,552000.0,865.0,1965.0,122417.00078291811,Condominium,Purchase,1.0,29,awesome
28,2696520,FL,2,2,2700.0,2084.289256198347,2006.0,1306.8,Apartment,Rent,1.0,29,awesome
29,2696463,FL,2,2,5500.0,2084.289256198347,2018.0,122417.00078291811,Condominium,Rent,1.0,29,awesome
30,2696369,FL,3,4,293000.0,2513.0,2003.0,4791.6,Single Family Detached,Purchase,2.0,29,awesome
31,2696296,FL,2,4,450000.0,2007.0,1987.0,4791.6,Single Family Detached,Purchase,2.0,29,awesome
32,2696238,FL,1,3,279400.0,1071.0,1953.0,8712.0,Single Family Detached,Purchase,0.0,29,awesome
